Tax parcel Number,Street Number,Street Name,Present Use,Historic Function,Historic Use,Date of const.,Dates of alteration,Style,No. of Stories,Construction method,Exterior material: historic 1,Exterior material: historic 2,Exterior material: present,Roof Type,Roof Material,Founda- tion Material,Additions,Porch location 1,Porch condition,Window condition,Overall integrity,Contri- buting,Endan- gered?,Distinctive features,Notes,Outbldg 1 type,Outbldg 1 date,Outbldg 1 construction method,Outbldg 1 distinctive features,Outbldg 2 type,Outbldg 2 date,Landscape features
86.16-2-7,3,Roma Pl,Single Family Residence,Domestic,Single Dwelling,1959,,Ranch,1,wood frame,brick veneer,,,hipped,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,front entrance porch is hipped roof overhang w/single wrought iron support; massive front wall chimney w/horiz. stone veneer; attached double garage; corner window placements,,,,,,,,
86.16-2-8,1,Roma Pl,Single Family Residence,Domestic,Single Dwelling,1963,,Ranch,1,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,front porch is roof overhang; side porch is small canopy w/iron posts,,garage,c1963,wood frame,gable roof,,,
86.16-2-9,111,South Ohioville Rd,Single Family Residence,Domestic,Single Dwelling,1890,1910,Bungalow,2,wood frame,cobblestone veneer,wood clapbd,vinyl clapbd (partial),gable,asphalt,stone,,full front,intact,mixed,intact,Yes,No,3 bay; center entrance; round arched first fl. windows w/stained glass transomes; 2nd story front balcony; cobblestone veneer on 1st fl & porch piers which are full supports,Vinyl clapbd is on 2nd floor & attic dormer only,,,,,,,
86.16-3-1.20,58,South Ohioville Rd,Single Family Residence,Domestic,Single Dwelling,1863,,Undetermined,2,wood frame,wood clapbd,,metal clapbd,front gable,asphalt,stone,roof extended over front entrance,full front,removed,mixed,altered,Yes,No,upright & wing; orig brick chimney at rear,Remodeling has removed or covered all orig. arch. details,barn,c1900,wood frame,small 1-story; wood clapbd,cottage,c1900,
86.16-3-10.100,92,South Ohioville Rd,Mixed Use SFR & Comm,Domestic,Single Dwelling,1950,1970,Cape,1,wood frame,brick veneer,,,gable,asphalt,concrete block,"large 1-story, 2+-stall garage wing in brick w/conc. block oversized (tall) garage off its rear; oil tanks",,N/A,replaced,altered,Yes,No,3 bay; center entrance; brick endwall chimney; bay window,,pole barn,c1980,steel w/ wood frame,SSM vertical siding,,,
86.16-3-12.100,100,South Ohioville Rd,Single Family Residence,Domestic,Single Dwelling,1955,1980,Cape,1,wood frame,wood clapbd,,metal clapbd,gable,asphalt,concrete block,double stall garage w/front gable,entrance,intact,intact,intact,Yes,No,massive brick endwall chimney; enclosed breezeway betw house & attached garage; 1-story sunroom ell; porch is roof extension/overhang w/out supports,,,,,,,,
86.16-3-14,120,South Ohioville Rd,Multi-Family Residence,Domestic,Single Dwelling,1920,,Undetermined,2,wood frame,stone veneer,wood clapbd,asbestos shingles,gable,slate,stone,,full front,intact,mixed,altered,Yes,No,5 bay; center entrance; porch has stone piers w/short battered columns; front & rear shed dormers,foundation may be concrete w/stone veneer,garage,c1920,wood frame,wood novelty siding; door boarded up,,,
86.16-3-17,138,South Ohioville Rd,Single Family Residence,Domestic,Single Dwelling,1805,1915  1950  1965,Federal,1.5,wood frame,wood clapbd,,vinyl novelty siding,gable,asphalt,stone,2-story side ell w/roof higher than orig; rear ell w/tuck-under garage (c1950) w/lean-to for 2nd garage stall c1965,full front,enclosed,altered,altered,Yes,No,3 bay; center passage; center chimney; stone foundation & piers for early front porch,Orig. Federal style remodeled to Craftsman Cottage c1915,,,,,,,
86.16-3-18,144,South Ohioville Rd,Single Family Residence,Domestic,Single Dwelling,1880,1930,Undetermined,1.5,wood frame,wood clapbd,,stucco,gable,ssm,stone,rear wing c1975,full front,enclosed,intact,altered,Yes,No,,,barn,c1900,wood frame,stone foundation; o.h.d. installed c1950,,,
86.16-3-19,150,South Ohioville Rd,Single Family Residence,Domestic,Single Dwelling,1963,,Ranch,1,wood frame,brick veneer,wood clapbd,metal clapbd (partial),hipped,asphalt,concrete block,,1/2 front,intact,intact,altered,Yes,No,attached double garage; sidelights on front door,,shed,c1980,wood frame,gambrel roof; prefab,,,
86.16-3-3,70,South Ohioville Rd,Single Family Residence,Domestic,Single Dwelling,1960,,Ranch,1,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,,entrance,intact,,altered,Yes,No,pic window; attached 2-stall garage; projecting front bay w/gable end; brick chimney between house & garage; blinds on door & windwow,,garage,,wood frame,,,,
86.16-3-4,75,South Ohioville Rd,Single Family Residence,Domestic,Single Dwelling,1955,,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,massive brick endwall chimney; attached 1-stall garage attached to house w/breezeway; rear ell,Orig attached garage has been converted to a living space,,,,,,,
86.16-3-5,78,South Ohioville Rd,Single Family Residence,Domestic,Single Dwelling,1964,,Ranch,1,wood frame,compos- ition clapbd,,T-111,gable,asphalt,concrete block,,,N/A,intact,altered,Yes,No,massive brick endwall chimney,Shutters on modern (horiz.) windows,,,,,,,
86.16-3-6.100,80,South Ohioville Rd,Single Family Residence,Domestic,Single Dwelling,1840,1861,Greek Revival,1.5,wood frame,wood clapbd,,,gable,asphalt,stone,,3/4 front,altered,intact,intact,Yes,Yes,5 bay; center passage; 2 endwall chimneys; wide cornice w/horiz. attic windows; door surround w/sidelights,NOTABLE; J. Elting House on 1876 map; window headers have lost their articulation (rotted),shed,c1861,stone,gable roof; shed roof lean-to,,,
86.18-1-12.100,10,Edgewood Dr,Single Family Residence,Domestic,Single Dwelling,1963,,Split Level,1.5,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,poured concrete,,,N/A,intact,altered,Yes,No,massive brick chimney; bow window,,,,,,,,circular driveway in front of house
86.18-1-15,4,Edgewood Dr,Single Family Residence,Domestic,Single Dwelling,1961,,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,pic window; brick endwall chimney; tuck-under garage; asymm. f.f.,NOTABLE for type,,,,,,,flagstone walkway; fabulous view of Mohonk Mtn House
86.18-1-16,242,Rte 208,Single Family Residence,Domestic,Single Dwelling,1960,,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,,,N/A,,intact,Yes,No,3 bay; center entrance; car-port extension,,shed,c1990,wood frame,particle board clading,,,
86.18-1-17,244,Rte 208,Single Family Residence,Domestic,Single Dwelling,1930,,Cottage,1,wood frame,wood clapbd,,,hipped,asphalt,concrete block,pic window,,N/A,mixed,intact,Yes,No,3 bay; pic window added; brick center chimney,,garage,c1930,wood frame,"large 2-stall w/attic; swing doors on 1 stall, o.h.door installed on other",,,
86.18-1-20,61,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1963,1980,Cape,1,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,front projecting able porch,entrance,intact,intact,altered,Yes,No,3 bay; center entrance w/added front projecting gabled porch; massive brick endwall chimney; 1-stall tuck-under garage,,,,,,,,
86.18-1-21,55,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1959,,Ranch,1,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,,,N/A,intact,altered,Yes,No,pic window; single tuck-under garage,"reportedly ""Schoonmaker"" out of Newburgh was the contractor",,,,,,,
86.18-1-22,53,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1959,,Cape,1,wood frame,wood clapbd,,metal clapbd,gable,asphalt,concrete block,,,N/A,intact,altered,Yes,No,4 bay asymm. f.f.; projecting front gabled vestibule; 3-part pic window; 2 conc. bl. endwall chimneys; attached carport w/balcony above & rear lean-to,,shed,c1960,wood frame,gable; wood siding,shed,c1970,
86.18-1-23,51,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1950,1970,Cape,1,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,shed roof dormers front & rear,entrance,enclosed,altered,altered,No,No,asymetrical 4 bay façade,appears to be much later house due to extensive renovations,,,,,,,
86.18-1-26,43,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1960,,Split Level,1.5,wood frame,wood clapbd,,metal clapbd,gable,asphalt,concrete block,,,N/A,intact,altered,Yes,No,bow window,,shed,c1980,wood frame,potting shed,,,
86.18-1-3,3,Edgewood Dr,Single Family Residence,Domestic,Single Dwelling,1963,,Colonial Revival,1,wood frame,wood clapbd,,metal clapbd,cross-gable,asphalt,concrete block,,entrance,intact,intact,altered,Yes,No,projecting front gabled bay; brick chimney; attached garage faces side; front porch is roof overhang,NOTABLE,,,,,,,
86.18-1-38,1,Watch Hill Rd,Single Family Residence,Domestic,Single Dwelling,1962,,Split Level,1.5,wood frame,compos- ition clapbd,stone,metal clapbd (partial),gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,attached 1-stall garage side ell,,,,,,,,
86.18-1-4,5,Edgewood Dr,Single Family Residence,Domestic,Single Dwelling,1958,,Ranch,1,wood frame,asbestos shingles,stone,,cross-gable,asphalt,concrete block,,entrance,intact,mixed,intact,Yes,No,massive stone veneer chimney; projecting front gabled bay; double garage attached to house wi hyphen (enclosed breezeway),,shed,c1990,wood frame,gambrel roof,,,
86.18-1-5,7,Edgewood Dr,Single Family Residence,Domestic,Single Dwelling,1959,,Ranch,1,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,,entrance,intact,intact,altered,Yes,No,angled end extension of gable rof; entrance porch is a recessed door w/roof overhang; pic window has modern muntin arrang. w/horiz. windows; 3-stall tuck-under garage (access cut off),,shed,c1970,wood frame,,,,
86.18-1-8,13,Edgewood Dr,Single Family Residence,Domestic,Single Dwelling,1957,,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,C-shaped footprint due to 2 projecting front gable bays; entrance porch is roof overhang,,,,,,,,
86.18-2-13,24,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1956,,Ranch,1,wood frame,stone veneer,vertical wd & metal clapbd,,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,large stone veneer chimney on front of house; tripartite pic window; 2-stall garage attached to house w/open breezeway; exterior access to basement,Similar to house @ 23 DuBois Rd,,,,,,,
86.18-2-14,20,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1956,,Ranch,1,wood frame,brick veneer,wood novelty,vinyl clapbd (partial),gable,asphalt,concrete block,,,N/A,replaced,intact,Yes,No,"projecting center gabled bay w/brick veneer & bd & batten in gable end, 3 grouped sash windows; brick chimney",,garage,c1956,wood frame,2-stall; wood clapbd,,,
86.18-2-16,10,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1958,,Ranch,1,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,,entrance,intact,,altered,Yes,No,asymm. f.f.; pic window; brick planter & steps,,,,,,,,stone retaining wall for parking area
86.18-2-18,12,Jansen Rd,Single Family Residence,Domestic,Single Dwelling,1956,1975,Cape,1,wood frame,wood clapbd,,,gable,asphalt,concrete block,1-story side ell,,N/A,replaced,intact,Yes,No,3 bay; center entrance; massive brick endwall chimney; pic window; tuck-under garage; added side ell has shed roof; 1-stall tuck-under garage,,,,,,,,stone retaining wall either side of driveway
86.18-2-19,18,Jansen Rd,Single Family Residence,Domestic,Single Dwelling,1952,,Undetermined,2,wood frame,stone veneer,comp clapbd,vinyl clapbd (partial),front gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,1-story shed roof entrance vestibule; entrance porch is canopy w/braces; foundation has stone veneer; vinyl cladding on 2nd fl. only,,,,,,,,
86.18-2-2,3,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1951,,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,,1/2 front,intact,intact,intact,Yes,No,attached 1-stall garage; foundation has brick veneer; front porch is roof overhange,,,,,,,,
86.18-2-3,5,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1955,,Ranch,1,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,,entrance,intact,intact,altered,Yes,No,3 bay; center entrance; pic window; projecting front gabled bay; attached double garage; entrance porch is roof overhang; rear porch has shed roof canopy w/supports,,,,,,,,
86.18-2-33,22,Jansen Rd,Single Family Residence,Domestic,Single Dwelling,1952,,Cape,1,wood frame,wood clapbd,,wood clapbd,gable,asphalt,concrete block,,,N/A,intact,altered,Yes,No,3 bay/center entrance; projecting front gabled bay; massive brick endwall chimney; decor. shutters; 1-stall garage attached to house w/enclosed breezeway,,,,,,,,
86.18-2-36,25,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1960,,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,very horiz. windows; 2-stall attached garage,,,,,,,,circular driveway
86.18-2-4,15,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1958,,Cottage,1,wood frame,wood clapbd,,vinyl clapbd,gable,asphalt,concrete block,,side,intact,,altered,Yes,No,very small; square footprint; canopy for side porch,,,,,,,,
86.18-2-5,17,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1964,,Ranch,1,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,,entrance,N/A,intact,intact,Yes,No,asymm. f.f.; bow window; brick center chimney; porch is roof overhang; attached double garage,,,,,,,,
86.18-2-7,23,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1956,,Ranch,1,wood frame,stone veneer,comp clapbd,metal clapbd (partial),gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,projecting front gabled bay; random slate/stone veneer on chimney; orig. 1-stall garage conncected to house w/open breezeway (now converted to living space),Similar to house @ 24 DuBois Rd,,,,,,,
86.18-2-9,29,DuBois Rd,Single Family Residence,Domestic,Multiple Dwelling,1880,1900  1950,Colonial Revival,2,wood frame,wood clapbd,,metal clapbd,gable,asphalt,stone,2-story side extension; front garage ell,3/4 front,altered,mixed,altered,Yes,No,orig 3 bay; center passage; became 5 bay w/early 2-story extension; center brick chimney; shed roof front porch; orig windows 2-over-2; 2-story front garage wing addition w/2-stalls w/1-story breezeway connection to house,NOTABLE?,garage,c1950,wood frame,"1-story w/lean-to on south side; T-1-11 siding, conc. bl. found; located on street side of house w/garage doors facing house",,,
86.20-1-7.100,2,Country Meadows Ln,Single Family Residence,Domestic,Single Dwelling,1740,1800s  1900s,Colonial,1,stone,stone,wood clapbd,,gable,asphalt,stone,1-story rear ell; vestibule on rear porch,entrance,intact,mixed,intact,Yes,No,5 bay; center passage; 3 shed roof dormers; front door surround; entrance canopy w/support brackets; 1-story side ell; rear roof extension over porch,NOTABLE example of type,garage,c1940,wood frame,2-stall; wood novelty siding,shed,c1960,stone retaining wall
86.20-1-8,177,South Ohioville Rd,Single Family Residence,Domestic,Single Dwelling,1950,,Cape,1,wood frame,wood clapbd,,metal clapbd,gable,asphalt,concrete block,,entrance,intact,mixed,altered,Yes,No,3 bay; center entrance; 2 gable roof dormers; gable roof entrance canopy;  2-stall garage attached to house w/hyphen; endwall brick chimney;,,barn,und,wood frame,1-story; wood novelty siding; probably older than house,,,
86.20-1-9.111,205,South Ohioville Rd,Commercial,Commerce/Trade,Specialty Store,1950,,Undetermined,?,concrete block,,,,,,,,,,,,,,,NO WORKSHEET,,,,,,,
86.3-1-19.100,203,Libertyville Rd,Single Family Residence,Domestic,Single Dwelling,1820,1860,Federal,1.5,wood frame,wood clapbd,,,gable,ssm,stone,1-story rear ell,entrance,intact,intact,intact,Yes,No,5 bay; center passage; door surround w/sidelights; small entrance pentice for porch; rear ell has gable roof,"NOTABLE; 5 outbldgs: garage, cottage, outhouse, shed & well house",garage,c1915,wood frame,1-stall; front gable; vertical wood siding; swing doors intact,cottage,c1880,low stone planting area in side yard outside rear ell
86.3-1-22,181,Libertyville Rd,Single Family Residence,Domestic,Single Dwelling,1822,,Federal,2,wood frame,wood clapbd,,,gable,tile or wood shake,stone & brick,cellar entrance,entrance,intact,intact,intact,Yes,No,5 bay; center passage; front door surround w/arched transom w/key block & sidelights; front porch w/slender columns & gable canopy; rear porch has shed roof & columns; window shutters; 2 endwall chimneys w/stone caps; gabled entrance vestibule to basement,"NOTABLE; Josaiah DuBois House; 7 outbldgs: 2 barns, summer kitchen, outhouse, pool house, well house, shed",barns (2),c1850,wood frame,"1st is 2-story, WC, gable, ssm roofing; 2nd is 1.5-story w/1-story lean-to, WC, gable, ssm roofing",summer kitchen/smokehouse,c1830,stone piers flank driveway entrance; low stone retaining/planting walls; vases & statuary; stone wall along front property line; circular driveway goes behind house
86.3-1-23,161,Libertyville Rd,Single Family Residence,Domestic,Single Dwelling,1850,1900,Greek Revival,1.5,wood frame,wood clapbd,,,gable,ssm,stone,1-story side ell; basement-level lean-to,,N/A,intact,intact,Yes,No,3 bay; side passage; wide cornice w/horiz. attic windows; corner pilasters; front door w/sidelights; 2 brick endwall chimneys,NOTABLE,garage,,wood frame,,,,
86.3-1-30,133,Plains Rd,Single Family Residence,Domestic,Single Dwelling,1930,,Bungalow,1,wood frame,wood clapbd,,,gable,asphalt,stone,,1/2 front,enclosed,intact,intact,Yes,No,3-over-1 windows; wide overhanging eaves,,barn,c1930,wood frame,2-story; gable; wood novelty siding; 2 o.h. doors installed for garage use; 6-light windows,shed & wellhouse,c1930,
86.3-1-31,129,Plains Rd,Single Family Residence,Domestic,Single Dwelling,1953,1980,Ranch,1,wood frame,compos- ition clapbd,knotty pine clapbd,,cross-gable,asphalt,concrete block,porch,entrance,intact-add,mixed,altered,Yes,No,projecting front gabled bay; 2-stall attached garage w/front gable; large stone veneered chimney w/cap,,workshop,c1960,wood frame,gable; woodclapbd matching house,,,
86.3-1-32,119,Plains Rd,Single Family Residence,Agriculture,Animal Facility,1850,,Undetermined,2,wood frame,Undetermined,,wood  shingles & vertical,gable,asphalt,stone,,,N/A,altered,altered,Yes,No,gable-roofed side ell w/ssm roofing,,,,,,,,low stone wall along edge of driveway
86.3-1-33,103,Plains Rd,Single Family Residence,Domestic,Single Dwelling,1945,1960  1970,Ranch,1,wood frame,brick veneer,bd & batten & WS,,gable,asphalt,concrete block,1-story brick side ell; garage wing,entrance,intact,mixed,altered,Yes,No,"orig. 3 bay/center entrance; 3-part pic window; brick center chimney in orig. portion of house; brick endwall chimney on 1st floor side ell, has lower gable roof; added garage wing has front gable over 2-stall garage, attached to house w/enclosed breezewa",,,,,,,,
86.3-1-6.400,524-532,Albany Post Rd,Multi-Family Residence,Domestic,Single Dwelling,1920,1940,Classical Revival,2,wood frame,wood clapbd,,,cross-gable,ssm,stone,1-story rear/side lean-to,,N/A,mixed,intact,Yes,Yes,3 bay; center entrance; front wall dormer w/round (Roman ) arched attic window/vent; center brick chimney; rear 2-story ell w/added 1-story rear/side lean-to w/rear entrance vestibule,endangered due to being vacant & open to the elements,garage,c1920,wood frame,1-stall; front gable; wood novelty siding; in ruins & open to the elements,,,
86.3-2-10.200,191,Plains Rd,Single Family Residence,Domestic,Single Dwelling,1933,,Greek Revival,1.5,wood frame,wood clapbd,,,gable,asphalt,stone,,entrance,intact,intact,intact,Yes,No,5 bay; center passage; 2 horiz. attic windows; 1-story side lean-to; 2 endwall chimneys; false attic window w/louvered blinds in gable ends,NOTABLE; working farm w/ 6 outbldgs: garage; summer kitchen; new garage; prefab shed; new shed; animal shelter,summer kitchen,c1840,wood frame,gable roof; wood clapbd siding; wood shake roof; located immediately behind house,Animal feeding shelter/stalls,c1930,"mature deciduous trees line driveway; cattle, chickens, geese, goats & horses are kept"
86.3-2-18,251,Route 208,Single Family Residence,Domestic,Single Dwelling,1950,1970,Ranch,1,wood frame,brick veneer,comp clapbd,metal clapbd (partial),gable,asphalt,concrete block,side ell w/1-stall tuck-under garage,,N/A,replaced,altered,Yes,No,projecting front gabled bay; brick center chimney,,,,,,,,conc. block retaining wall along side of driveway
86.3-2-19,253,Route 208,Single Family Residence,Domestic,Single Dwelling,1965,1980,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,screened porch side ell,side,intact-add,intact,intact,Yes,No,5 bay asymm. f.f.; 3-part pic window; door w/sidelight,,,,,,,,
86.3-2-20,257,Route 208,Single Family Residence,Domestic,Single Dwelling,1955,,Ranch,1,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,,entrance,intact,replaced,intact,Yes,No,sliding glass door on f.f.; 2 brick center chimneys; 2-stall attached garage,,,,wood frame,,,,
86.3-2-22.100,265-289,Route 208,Single Family Residence,Domestic,Single Dwelling,1870,1960,Italianate,2,wood frame,wood clapbd,,,gable,asphalt,stone,garage wing,full front,intact,intact,intact,Yes,No,5 bay/center entrance; 2-over-2 windows; rear shed roof ell; brick endwall chimney w/cap' 1-story bay window on S. side; arched double front doors w/transom; double-stall garage in side addition,"NOTABLE; ""W.F. DuBois"" on 1875 map; several bldgs on this property: farm stand, bus waiting shack; 2 mobile homes; prefab shed",garage,c1950,wood frame,2-story,farm stand,c1940,dry laid stone walls w/brick piers & lanterns atop form gateway @ driveway entrance
86.3-2-23,258,Route 208,Single Family Residence,Domestic,Single Dwelling,1955,,Cape,1,wood frame,wood clapbd,brick,vinyl clapbd,gable,asphalt,concrete block,porch; double garage ell,entrance,intact-add,mixed,altered,Yes,No,orig. 4 bay asymm. f.f.; window blinds; garage addition in a projecting front gabled bay w/side ell sunroom; porch is gabled canopy w/2 support posts,,shed,c1980,wood frame,gambrel,,,
86.3-2-24,256,Route 208,Single Family Residence,Domestic,Single Dwelling,1951,,Ranch,1,wood frame,stone veneer,metal clapbd (partial),,gable,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,projecting front gabled bay; door surround w/half sidelights; window blinds; double-stall attached garage; large stone veneered endwall chimney between house & garage,,,,,,,,
86.3-2-25,83,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1965,1990,Ranch,1,wood frame,metal clapbd,,,gable,asphalt,concrete block,front entrance deck,entrance,intact,intact,intact,Yes,No,"projecting front gabled bay w/3 symmetrically placed windows; group of 3 sash windows comprises ""pic"" window; brick center chimney; double-stalled attached garage",,,,,,,,
86.3-2-27,254,Route 208,Single Family Residence,Domestic,Single Dwelling,1950,1980,Cape,1,wood frame,brick veneer,,metal clapbd (partial),gable,asphalt,concrete block,attached garage converted to sun porch,entrance,intact,intact,intact,Yes,No,3-part multi-paned bow/pic window; door surround w/half sidelights; 6-over-6 windows; dormers; window blinds; porch is roof overhang over recessed door; brick endwall chimney,,carport,c1970,wood frame,front gable,,,mature Weeping willow tree
86.3-2-28.110,77,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1955,1975,Cape,1,wood frame,brick veneer,wood clapbd,metal clapbd (partial),gable,asphalt,concrete block,front enclosed porch,full front,intact-add,intact,intact,Yes,No,3 bay/center entrance; 2 gabled front dormers; 3-part pic window; 1-stall attached garage; brick endwall chimney,,shed,c1960,wood frame,shed roof,,,brick pier @ roadway w/mailbox in it
86.3-2-29,252,Route 208,Single Family Residence,Domestic,Single Dwelling,1955,1970,Ranch,1,wood frame,brick & stone veneer,wood clapbd,,gable,asphalt,concrete block,side ell off garage wing,1/2 front,intact,intact,intact,Yes,No,projecting front gabled bay; 3-part pic window; corner pic window; front porch is shallow roof overhang; massive brick center chimney; brick endwall chimney; recessed 1-stall garage bay,,,,,,,,
86.3-2-30.100,73,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1965,1990,Ranch,1,wood frame,vertical wood boards,,,gable,asphalt,concrete block,front deck; sside/rear sun porch,full front,intact,replaced,altered,Yes,No,projecting front gabled bay; brick center chimney; bow window; 2-stall attached garage; shed roof on sun porch addition; sliding glass door,,,,,,,,
86.3-2-31.110,250,Route 208,Single Family Residence,Domestic,Single Dwelling,1950,,Cape,1,wood frame,stone veneer,board & batten,,gable,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,3-part pic window; 6-over-6 windows; stone center chimney; window & door blinds; front porch is roof overhang over recessed doorway; 2-stall attached garage w/open breezeway between house & garage,,,,,,,,
86.3-2-32,246,Route 208,Single Family Residence,Domestic,Single Dwelling,1950,,Ranch,1,conc bl & WF,concrete block,clapbd,,hipped,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,1 large single pane pic window on f.f.; horiz. windows elsewhere; conc. bl. chimney; blinds on doors; front porch is shallow roof overhang,,garage,c1950,concrete block,1-stall; hipped roof; awning windows,,,
86.3-2-34,63,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1956,,Ranch,1,wood frame,wood clapbd,,,gable,asphalt,concrete block,,,N/A,replaced,intact,Yes,No,"4 bay asymm. f.f.; dentiled cornice; center brick chimney; window & door blinds; double-stall attached garage w/cupola, attached to house w/enclosed (glazed) breezeway","""The Kortright House estab. 1956"" on sign",,,,,,,
86.3-2-36.110,70,DuBois Rd,Single Family Residence,Domestic,Single Dwelling,1890,1970,Queen Anne,2,wood frame,wood clapbd,,asbestos shingles,front gable,asphalt,stone,1-story side ell,full front,intact,intact,intact,Yes,No,3 bay/side entrance; rear 1-story shed roof ell; 2-over-2 windows stone kneewall on added front porch (railing); added side ell has shed roof & conc. bl. foundation; front porch is screened,,garage,c1930,wood frame,gable w/front gabled bay; swing doors; conc. bl. chimney,,,
86.4-1-1.200,29,Cedar Ridge,Single Family Residence,Domestic,Single Dwelling,1965,,Ranch,1,wood frame,stone veneer,vertical wood,,gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,porch is gabled canopy w/supports; garage attached to house w/breezeway,,shed,c1970,wood frame,,pool house,c1980,
86.4-1-10,11,Cedar Ridge,Single Family Residence,Domestic,Single Dwelling,1958,,Ranch,1,wood frame,vertical wood boards,,,gable,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,multipaned pic window; 2-stall attached garage; central brick chimney; porch is roof overhang w/recessed doorway in breezeway; exposed rafters,,,,,,,,
86.4-1-11,9,Cedar Ridge,Single Family Residence,Domestic,Single Dwelling,1960,,Ranch,1,wood frame,stone veneer,wood clapbd,,gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,projecting bay w/front gable; porch is roof overhang w/recessed entrance; horiz. stone; windows at corners; massive stone chimney; attached double garage,,,,,,,,
86.4-1-12,5,Cedar Ridge,Single Family Residence,Domestic,Single Dwelling,1955,,Ranch,1,wood frame,stone veneer,comp clapbd,metal clapbd (partial),cross-gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,projecting bay w/front gable & multipaned bay window; porch is roof overhange w/single wood post; attached double garage; massive stone chimney,,,,,,,,
86.4-1-13,4,Cedar Ridge,Single Family Residence,Domestic,Single Dwelling,1964,,Ranch,1,wood frame,cobblestone veneer,wood shingle,,cross-gable,asphalt,concrete block,,entrance,intact,replaced,intact,Yes,No,projecting bay w/front gable; 3 sash windows grouped for pic window; massive stone chimney; 1-stall attached garage w/side entrance,,pool house,c1990,wood frame,,,,
86.4-1-15,157,Rte 208,Single Family Residence,Domestic,Single Dwelling,1963,,Ranch,1,wood frame,asbestos shingles,,,gable,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,3-part pic window; porch is shallow roof overhang,,,,,,,,
86.4-1-16,155,Rte 208,Single Family Residence,Domestic,Single Dwelling,1953,,Ranch,1,wood frame,wood shingle,,,gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,multi-paned pic window (Col. Rev. treatment); porch is canopy w/wood posts; 2-stall garage attached to house w/breezeway,,,,,,,,
86.4-1-18,8,Cedar Ridge,Single Family Residence,Domestic,Single Dwelling,1960,,Split Level,1.5,wood frame,compos- ition clapbd,,metal clapbd,hipped,asphalt,concrete block,,entrance,intact,mixed,altered,Yes,No,multi-paned pic window; diamond pane mullions; very horiz. stone veneer; porch is roof overhang w/1 wood post; tuck-under garage; traditional treatement,,shed,c1980,wood frame,,,,
